"","date","state","new_cases_norm","new_deaths_norm"
"578",2020-03-12,"South Dakota",0,0
"579",2020-03-12,"Tennessee",0.14771026926105,0
"580",2020-03-12,"Texas",0.0278727726388321,0
"581",2020-03-12,"Utah",0.0632690151070591,0
"582",2020-03-12,"Vermont",0,0
"583",2020-03-12,"Virginia",0.0821819543690568,0
"584",2020-03-12,"Washington",1.07489910214076,0.0398110778570652
"585",2020-03-12,"Wisconsin",0.03440228100884,0
"586",2020-03-12,"Wyoming",0,0
"587",2020-03-13,"Alabama",0,0
"588",2020-03-13,"Alaska",0,0
"589",2020-03-13,"Arizona",0,0
"590",2020-03-13,"Arkansas",0.0331804268661916,0
"591",2020-03-13,"California",0.171903639414926,0.00252799469727832
"592",2020-03-13,"Colorado",0.509168187733471,0.0175575237149473
"593",2020-03-13,"Connecticut",0.139951548773814,0
"594",2020-03-13,"Delaware",0,0
"595",2020-03-13,"District of Columbia",0,0
"596",2020-03-13,"Florida",0.112679627171284,0
"597",2020-03-13,"Georgia",0.0950617782731553,0
"598",2020-03-13,"Hawaii",0,0
"599",2020-03-13,"Idaho",0,0
"600",2020-03-13,"Illinois",0.109880795034644,0
"601",2020-03-13,"Indiana",0,0
"602",2020-03-13,"Iowa",0.0316842223662094,0
"603",2020-03-13,"Kansas",0.0343464977734883,0
"604",2020-03-13,"Kentucky",0,0
"605",2020-03-13,"Louisiana",0.472105233114834,0
"606",2020-03-13,"Maine",0.0747158556011488,0
